"","Site","Date","chloride","Cond","Volume","Receiving","address","location","NaCl","estimated_cl","year","latitude","longitude","geometry"
"96","1766 Fordem Ave",2011-06-27,170.9024,974,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,"y",2011,43.095047,-89.363495,c(-89.363495, 43.095047)
"97","1766 Fordem Ave",2012-06-14,142,1010,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,NA,2012,43.095047,-89.363495,c(-89.363495, 43.095047)
"98","1614 Fordem Ave",2007-07-23,301.7,1288,NA,"Yahara River","1614 Fordem Ave Madison, WI","outdoor",NA,NA,2007,43.093784,-89.36364,c(-89.36364, 43.093784)
"99","1624 Fordem Ave",2019-07-30,178.51,1000,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,"y",2019,43.09335,-89.36364,c(-89.36364, 43.09335)
"100","1624 Fordem Ave",2018-08-02,169.732,970,NA,"Yahara River","1624 Fordem Ave Madison, WI","outdoor",NA,"y",2018,43.09335,-89.36364,c(-89.36364, 43.09335)
"101","5109 W Terrace Dr",2011-01-12,591,3670,NA,"Starkweather Creek","5109 W Terrace Dr Madison, WI","indoor",NA,NA,2011,43.142906,-89.29551,c(-89.29551, 43.142906)
"102","5109 W Terrace Dr",2017-01-03,663,3720,NA,"Starkweather Creek","5109 W Terrace Dr Madison, WI","indoor",NA,NA,2017,43.142906,-89.29551,c(-89.29551, 43.142906)
"103","5515 Medical Cir",2018-02-01,175.584,990,567811.7676,"Wingra","5515 Medical Cir Madison, WI","indoor",NA,"y",2018,43.048542,-89.47424,c(-89.47424, 43.048542)
"104","5515 Medical Cir",2019-02-05,219.474,1140,567811.7676,"Wingra","5515 Medical Cir Madison, WI","indoor",NA,"y",2019,43.048542,-89.47424,c(-89.47424, 43.048542)
"105","702 S High Point Rd",2009-06-22,174.9988,988,NA,"Spring Harbor","702 S High Point Rd Madison, WI","indoor",NA,"y",2009,43.0512610786663,-89.5223813783334,c(-89.5223813783334, 43.0512610786663)
"106","702 S High Point Rd",2010-02-11,201.918,1080,NA,"Spring Harbor","702 S High Point Rd Madison, WI","indoor",NA,"y",2010,43.0512610786663,-89.5223813783334,c(-89.5223813783334, 43.0512610786663)
"107","22 S Carroll St",2011-01-05,1180,4340,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,NA,2011,43.07371,-89.38502,c(-89.38502, 43.07371)
"108","333 W Washington Ave",2018-01-24,617.41,2500,NA,"Monona Bay","333 W Washington Ave Madison, WI","indoor",NA,"y",2018,43.076946,-89.38084,c(-89.38084, 43.076946)
"109","1080 N Pleasant View Rd",2016-08-10,896,3040,NA,"Mendota","1080 N Pleasant View Rd Madison, WI","outdoor",NA,NA,2016,43.110325,-89.351265,c(-89.351265, 43.110325)
"110","333 W Washington Ave",2011-01-10,679,3720,NA,"Monona Bay","333 W Washington Ave Madison, WI","indoor",NA,NA,2011,43.076946,-89.38084,c(-89.38084, 43.076946)
"111","1766 Fordem Ave",2013-07-11,138.4238,863,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,"y",2013,43.095047,-89.363495,c(-89.363495, 43.095047)
"112","1818 Fordem Ave",2007-07-23,98.3,867,NA,"Yahara River","1818 Fordem Ave Madison, WI","outdoor",NA,NA,2007,43.096344,-89.36353,c(-89.36353, 43.096344)
