"Plot Title: 20758348"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20758348, SEN S/N: 20758348)","Full Range, μS/cm (LGR S/N: 20758348, SEN S/N: 20758348)","Temp, °C (LGR S/N: 20758348, SEN S/N: 20758348)"
347,11/06/20 06:00:00 PM,410.2,408.5,11.16
348,11/06/20 06:30:00 PM,409.8,408.2,11.10
349,11/06/20 07:00:00 PM,409.2,407.4,11.04
350,11/06/20 07:30:00 PM,408.5,407.1,10.98
351,11/06/20 08:00:00 PM,408.6,407.1,10.94
352,11/06/20 08:30:00 PM,408.6,406.7,10.89
353,11/06/20 09:00:00 PM,407.4,405.6,10.88
354,11/06/20 09:30:00 PM,408.0,406.4,10.84
355,11/06/20 10:00:00 PM,407.4,405.6,10.82
356,11/06/20 10:30:00 PM,407.5,406.0,10.79
357,11/06/20 11:00:00 PM,406.8,404.9,10.78
358,11/06/20 11:30:00 PM,407.0,405.3,10.76
359,11/07/20 12:00:00 AM,407.2,405.3,10.74
360,11/07/20 12:30:00 AM,407.4,405.3,10.74
361,11/07/20 01:00:00 AM,407.1,405.3,10.73
362,11/07/20 01:30:00 AM,406.7,404.9,10.71
363,11/07/20 02:00:00 AM,406.3,404.5,10.70
364,11/07/20 02:30:00 AM,406.0,404.2,10.66
365,11/07/20 03:00:00 AM,405.7,404.2,10.65
366,11/07/20 03:30:00 AM,405.0,403.0,10.62
367,11/07/20 04:00:00 AM,405.5,403.4,10.59
368,11/07/20 04:30:00 AM,404.6,403.0,10.56
369,11/07/20 05:00:00 AM,404.4,402.3,10.54
370,11/07/20 05:30:00 AM,404.6,402.3,10.50
371,11/07/20 06:00:00 AM,403.7,401.9,10.48
372,11/07/20 06:30:00 AM,403.1,401.2,10.43
373,11/07/20 07:00:00 AM,402.8,400.8,10.38
374,11/07/20 07:30:00 AM,403.1,400.8,10.38
375,11/07/20 08:00:00 AM,403.7,402.0,10.37
376,11/07/20 08:30:00 AM,403.4,401.6,10.40
377,11/07/20 09:00:00 AM,404.4,402.3,10.42
378,11/07/20 09:30:00 AM,404.3,402.3,10.48
379,11/07/20 10:00:00 AM,404.7,402.7,10.54
380,11/07/20 10:30:00 AM,406.0,404.2,10.62
381,11/07/20 11:00:00 AM,406.9,404.9,10.71
382,11/07/20 11:30:00 AM,407.8,406.0,10.79
383,11/07/20 12:00:00 PM,408.5,406.7,10.89
384,11/07/20 12:30:00 PM,410.1,408.2,11.02
385,11/07/20 01:00:00 PM,411.9,410.0,11.16
386,11/07/20 01:30:00 PM,412.6,410.8,11.28
